# coding=utf-82018-07-24 15:18:20,037 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:24:59,563 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,563 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,566 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.566905
2018-07-24 15:24:59,566 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,566 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,569 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.569906
2018-07-24 15:24:59,569 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,569 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,572 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.572906
2018-07-24 15:24:59,572 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,572 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,576 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.576906
2018-07-24 15:24:59,576 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,576 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,579 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.579906
2018-07-24 15:24:59,579 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,579 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,582 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.582906
2018-07-24 15:24:59,582 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,582 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,585 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.585907
2018-07-24 15:24:59,585 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,585 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,588 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.588907
2018-07-24 15:24:59,588 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,588 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,591 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.591907
2018-07-24 15:24:59,591 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,591 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,594 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.594907
2018-07-24 15:24:59,594 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,594 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,597 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.597907
2018-07-24 15:24:59,597 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,597 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,599 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.599907
